,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
47,2536,PLEASANT HILL,81732.96,115.442033898,77.0,20.6936712647,50317,5714.57,8.07142655367,38.5796892655,68373.24,119.117142857,21.2997308171,4680.93,8.15493031359,39.8207142857,16637.34,13359.72,99.6994029851,18.0975654211,1033.64,7.71373134328,33.2636567164,13359.72
48,2538,WATERLOO,71514.8,80.9907134768,7.0,20.2211768589,50702,5000.84,5.66346545866,27.0662967157,55128.11,82.280761194,20.2126746905,3832.0,5.71940298507,27.503358209,10779.48,16386.69,76.9328169014,20.247920769,1168.84,5.48751173709,25.6915023474,16386.69
49,2539,IOWA FALLS,79528.91,153.234894027,42.0,17.8386810234,50126,5832.44,11.2378420039,51.2630250482,65501.63,158.984538835,17.7577266893,4703.26,11.4156796117,53.1297815534,14048.75,14027.28,131.096074766,18.1503930387,1129.18,10.5530841121,44.0751401869,14027.28
50,2543,OTTUWMA,74441.65,81.0911220044,90.0,18.1740886059,52501,4950.93,5.39316993464,27.0663943355,61929.58,83.5756815115,18.1839087859,4136.87,5.58282051282,27.9011605938,11959.37,12512.07,70.6896610169,18.1329770047,814.06,4.59920903955,23.5716949153,12512.07
51,2544,MARSHALLTOWN,151582.32,137.927497725,64.0,17.2872737982,50158,10213.02,9.29301182894,46.0824567789,121077.73,138.850607798,17.4478961603,8029.41,9.20803899083,46.4118348624,31584.86,30504.59,134.381453744,16.6702574995,2183.61,9.61942731278,44.8171806167,30504.59
52,2545,IOWA CITY,58075.96,69.3030548926,52.0,20.4784375093,52245,3609.66,4.30747016706,23.146849642,50195.78,72.0169010043,20.5779659694,3097.6,4.44418938307,24.0594691535,8626.51,7880.18,55.8878014184,19.9864422137,512.06,3.63163120567,18.6355319149,7880.18
53,2548,ALTOONA,127007.8,144.655808656,77.0,18.6286520259,50009,8885.37,10.1200113895,48.3544419134,97735.72,132.973768707,19.0269715616,6623.22,9.01118367347,44.4683537415,15289.96,29272.08,204.69986014,16.5813453213,2262.15,15.8192307692,68.3283916084,29272.08
54,2549,INDIANOLA,91957.26,146.195961844,91.0,16.9198273904,50125,7148.23,11.3644356121,49.0524483307,75671.14,146.649496124,16.5823301956,5866.03,11.3682751938,49.270503876,26690.73,16286.12,144.124955752,18.4609650232,1282.2,11.3469026549,48.0567256637,16286.12
55,2550,OSCEOLA,23588.85,58.6787313433,20.0,15.7609834755,50213,1755.05,4.3657960199,19.6262437811,19825.77,56.4836752137,15.8092053317,1498.05,4.26794871795,18.8972079772,4156.78,3763.08,73.7858823529,15.4291036415,257.0,5.03921568627,24.6437254902,3763.08
56,2551,CHARITON,42492.47,95.7037612613,59.0,17.3684521332,50049,3032.89,6.83083333333,31.9934009009,32477.18,89.223021978,17.0544082452,2362.04,6.48912087912,29.8475,7919.5,10015.29,125.191125,18.7973518237,670.85,8.385625,41.75725,10015.29
57,2552,CEDAR RAPIDS,124124.7,103.351124063,57.0,18.4896855703,52404,9634.58,8.02213155704,34.5625395504,103607.79,104.760151668,18.7769610694,8003.31,8.0923255814,35.0388270981,23784.11,20516.91,96.7778773585,17.1495182658,1631.27,7.69466981132,32.3406132075,20516.91
58,2553,CRESTON,33162.18,98.4040949555,88.0,16.3182400363,50801,2378.58,7.05810089021,32.9169732938,26164.9,96.5494464945,16.6688938213,1885.08,6.95601476015,32.3121771218,6809.61,6997.28,106.019393939,14.8784343434,493.5,7.47727272727,35.4003030303,6997.28
59,2554,DAVENPORT,27474.46,112.140653061,82.0,11.1343906706,52802,2758.05,11.2573469388,37.5024081633,22609.38,116.543195876,11.2060677467,2278.8,11.7463917526,38.9981443299,3970.74,4865.08,95.3937254902,10.8617366947,479.25,9.39705882353,31.812745098,4865.08
